x pendolo,y pendolo,angolo,,"pivot x,y",592,52
409,531,-0.364933569,,,,
430,543,-0.31869246,,,,
456,554,-0.26456571,,,,
485,564,-0.206019268,,,,
517,572,-0.143242949,,,,
552,578,-0.075899545,,,,
588,580,-0.007575613,,,,
625,578,0.062655524,,,,
658,574,0.125769421,,,,
687,568,0.182069657,,,,
718,558,0.244048431,,,,
743,548,0.295521062,,,,
766,537,0.344459971,,,,
784,527,0.384130863,,,,
796,520,0.411064547,,,,
804,516,0.428574278,,,,
806,515,0.432955496,,,,
803,516,0.426789857,,,,
796,521,0.410283262,,,,
783,528,0.381592546,,,,
765,538,0.34198078,,,,
742,549,0.29311731,,,,
716,559,0.239867183,,,,
685,569,0.177980524,,,,
656,574,0.121996508,,,,
623,578,0.058867268,,,,
587,580,-0.009469414,,,,
552,578,-0.075899545,,,,
518,573,-0.14109082,,,,
486,565,-0.203760131,,,,
458,555,-0.260354898,,,,
433,544,-0.3125765,,,,
413,533,-0.356262124,,,,
395,523,-0.396147153,,,,
384,517,-0.420616193,,,,
378,513,-0.43460648,,,,
377,513,-0.43638963,,,,
380,515,-0.429390366,,,,
389,520,-0.409267563,,,,
403,528,-0.377968311,,,,
422,538,-0.336491501,,,,
445,550,-0.287029596,,,,
471,560,-0.233831888,,,,
500,569,-0.176106285,,,,
533,575,-0.112335776,,,,
567,579,-0.047402793,,,,
603,580,0.02083032,,,,
636,577,0.08361412,,,,
670,573,0.148608363,,,,
697,566,0.201507686,,,,
724,556,0.256151383,,,,
749,546,0.307718529,,,,
769,536,0.350594609,,,,
784,527,0.384130863,,,,
794,522,0.40591848,,,,
799,519,0.417230492,,,,
799,519,0.417230492,,,,
795,521,0.408488893,,,,
786,527,0.38774476,,,,
771,535,0.354907931,,,,
751,545,0.311982855,,,,
726,555,0.260354898,,,,
699,566,0.205240001,,,,
673,572,0.154527396,,,,
641,576,0.093240305,,,,
608,579,0.030351208,,,,
572,580,-0.037860687,,,,
538,577,-0.102496699,,,,
506,571,-0.164211178,,,,
477,562,-0.221780969,,,,
451,552,-0.274862338,,,,
428,542,-0.322974544,,,,
410,532,-0.362418625,,,,
395,524,-0.395392714,,,,
386,519,-0.415439376,,,,
383,517,-0.422406739,,,,
384,517,-0.420616193,,,,
389,520,-0.409267563,,,,
400,526,-0.384863648,,,,
416,535,-0.349435787,,,,
436,546,-0.305878871,,,,
460,556,-0.256151383,,,,
487,565,-0.201889912,,,,
517,573,-0.142971745,,,,
549,578,-0.081567669,,,,
583,580,-0.017043804,,,,
619,579,0.05118864,,,,
649,575,0.108558148,,,,
679,570,0.166400633,,,,
706,563,0.219497618,,,,
731,554,0.270124736,,,,
754,544,0.318087567,,,,
772,535,0.356727076,,,,
784,528,0.383400725,,,,
792,524,0.400793449,,,,
794,522,0.40591848,,,,
792,523,0.401555899,,,,
786,527,0.38774476,,,,
774,533,0.361729242,,,,
757,542,0.324808649,,,,
736,552,0.280411588,,,,
712,561,0.231528639,,,,
684,569,0.176106285,,,,
655,574,0.120108736,,,,
625,578,0.062655524,,,,
590,580,-0.003787861,,,,
557,579,-0.066316275,,,,
525,575,-0.127413089,,,,
495,568,-0.18581595,,,,
468,559,-0.239867183,,,,
444,550,-0.288875679,,,,
424,540,-0.331554162,,,,
408,531,-0.366754077,,,,
396,525,-0.392837997,,,,
390,521,-0.406691733,,,,
388,520,-0.411064547,,,,
391,522,-0.404121173,,,,
399,526,-0.386674659,,,,
413,534,-0.355583793,,,,
429,543,-0.320528061,,,,
451,553,-0.274340851,,,,
476,562,-0.223646093,,,,
503,570,-0.170153328,,,,
534,576,-0.110238285,,,,
566,580,-0.049202681,,,,
599,581,0.013231742,,,,
632,578,0.075899545,,,,
663,574,0.135185746,,,,
689,568,0.18581595,,,,
716,560,0.239412858,,,,
739,551,0.286485375,,,,
758,542,0.326640491,,,,
773,534,0.359225319,,,,
783,529,0.380867779,,,,
788,526,0.392091666,,,,
788,526,0.392091666,,,,
784,528,0.383400725,,,,
775,533,0.363546618,,,,
761,540,0.333385057,,,,
743,549,0.294960376,,,,
720,558,0.24776676,,,,
694,567,0.1955278,,,,
670,573,0.148608363,,,,
639,577,0.08928579,,,,
608,580,0.03029376,,,,
574,580,-0.034077712,,,,
542,577,-0.094951706,,,,
511,572,-0.154527396,,,,
484,565,-0.207496226,,,,
459,556,-0.258007242,,,,
437,547,-0.303459911,,,,
420,538,-0.340153385,,,,
407,531,-0.368572043,,,,
398,526,-0.388483003,,,,
394,524,-0.397195684,,,,
394,524,-0.397195684,,,,
400,527,-0.384130863,,,,
411,533,-0.359909363,,,,
